year,title,author,doi,url,publisher,booktitle,editor,abstract
2025,{N}usa{BERT}: Teaching {I}ndo{BERT} to be Multilingual and Multicultural,"Wongso, Wilson  and
Setiawan, David Samuel  and
Limcorn, Steven  and
Joyoadikusumo, Ananto",,https://aclanthology.org/2025.sealp-1.2/,Association for Computational Linguistics,Proceedings of the Second Workshop in South East Asian Language Processing,"Wijaya, Derry  and
Aji, Alham Fikri  and
Vania, Clara  and
Winata, Genta Indra  and
Purwarianti, Ayu","We present NusaBERT, a multilingual model built on IndoBERT and tailored for Indonesia{'}s diverse languages. By expanding vocabulary and pre-training on a regional corpus, NusaBERT achieves state-of-the-art performance on Indonesian NLU benchmarks, enhancing IndoBERT{'}s multilingual capability. This study also addresses NusaBERT{'}s limitations and encourages further research on Indonesia{'}s underrepresented languages."
2025,{W}orld{C}uisines: A Massive-Scale Benchmark for Multilingual and Multicultural Visual Question Answering on Global Cuisines,"Winata, Genta Indra  and
Hudi, Frederikus  and
Irawan, Patrick Amadeus  and
Anugraha, David  and
Putri, Rifki Afina  and
Yutong, Wang  and
Nohejl, Adam  and
Prathama, Ubaidillah Ariq  and
Ousidhoum, Nedjma  and
Amriani, Afifa  and
Rzayev, Anar  and
Das, Anirban  and
Pramodya, Ashmari  and
Adila, Aulia  and
Wilie, Bryan  and
Mawalim, Candy Olivia  and
Lam, Cheng Ching  and
Abolade, Daud  and
Chersoni, Emmanuele  and
Santus, Enrico  and
Ikhwantri, Fariz  and
Kuwanto, Garry  and
Zhao, Hanyang  and
Wibowo, Haryo Akbarianto  and
Lovenia, Holy  and
Cruz, Jan Christian Blaise  and
Putra, Jan Wira Gotama  and
Myung, Junho  and
Susanto, Lucky  and
Machin, Maria Angelica Riera  and
Zhukova, Marina  and
Anugraha, Michael  and
Adilazuarda, Muhammad Farid  and
Santosa, Natasha Christabelle  and
Limkonchotiwat, Peerat  and
Dabre, Raj  and
Audino, Rio Alexander  and
Cahyawijaya, Samuel  and
Zhang, Shi-Xiong  and
Salim, Stephanie Yulia  and
Zhou, Yi  and
Gui, Yinxuan  and
Adelani, David Ifeoluwa  and
Lee, En-Shiun Annie  and
Okada, Shogo  and
Purwarianti, Ayu  and
Aji, Alham Fikri  and
Watanabe, Taro  and
Wijaya, Derry Tanti  and
Oh, Alice  and
Ngo, Chong-Wah",10.18653/v1/2025.naacl-long.167,https://aclanthology.org/2025.naacl-long.167/,Association for Computational Linguistics,Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),"Chiruzzo, Luis  and
Ritter, Alan  and
Wang, Lu","Vision Language Models (VLMs) often struggle with culture-specific knowledge, particularly in languages other than English and in underrepresented cultural contexts. To evaluate their understanding of such knowledge, we introduce WorldCuisines, a massive-scale benchmark for multilingual and multicultural, visually grounded language understanding. This benchmark includes a visual question answering (VQA) dataset with text-image pairs across 30 languages and dialects, spanning 9 language families and featuring over 1 million data points, making it the largest multicultural VQA benchmark to date. It includes tasks for identifying dish names and their origins. We provide evaluation datasets in two sizes (12k and 60k instances) alongside a training dataset (1 million instances). Our findings show that while VLMs perform better with correct location context, they struggle with adversarial contexts and predicting specific regional cuisines and languages. To support future research, we release a knowledge base with annotated food entries and images along with the VQA data."
2025,"{M}ulti$^3${H}ate: Multimodal, Multilingual, and Multicultural Hate Speech Detection with Vision{--}Language Models","Bui, Minh Duc  and
Wense, Katharina Von Der  and
Lauscher, Anne",10.18653/v1/2025.naacl-long.490,https://aclanthology.org/2025.naacl-long.490/,Association for Computational Linguistics,Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),"Chiruzzo, Luis  and
Ritter, Alan  and
Wang, Lu","Hate speech moderation on global platforms poses unique challenges due to the multimodal and multilingual nature of content, along with the varying cultural perceptions. How well do current vision-language models (VLMs) navigate these nuances? To investigate this, we create the first multimodal and multilingual parallel hate speech dataset, annotated by a multiculturally diverse set of annotators, called Multi$^3$Hate. It contains 300 parallel meme samples across 5 languages: English, German, Spanish, Hindi, and Mandarin. We demonstrate that cultural background significantly affects multimodal hate speech annotation in our dataset. The average pairwise agreement among countries is just 74{\%}, significantly lower than that of randomly selected annotator groups. Our qualitative analysis indicates that the lowest pairwise label agreement{---}only 67{\%} between the USA and India{---}can be attributed to cultural factors. We then conduct experiments with 5 large VLMs in a zero-shot setting, finding that these models align more closely with annotations from the US than with those from other cultures, even when the memes and prompts are presented in the native language of the other culture."
2025,{KODIS}: A Multicultural Dispute Resolution Dialogue Corpus,"Hale, James Anthony  and
Rakshit, Sushrita  and
Chawla, Kushal  and
Brett, Jeanne M  and
Gratch, Jonathan",10.18653/v1/2025.naacl-long.637,https://aclanthology.org/2025.naacl-long.637/,Association for Computational Linguistics,Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),"Chiruzzo, Luis  and
Ritter, Alan  and
Wang, Lu",
2025,Is It {N}avajo? Accurate Language Detection for Endangered Athabaskan Languages,"Yang, Ivory  and
Ma, Weicheng  and
Zhang, Chunhui  and
Vosoughi, Soroush",10.18653/v1/2025.naacl-short.24,https://aclanthology.org/2025.naacl-short.24/,Association for Computational Linguistics,Proceedings of the 2025 Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 2: Short Papers),"Chiruzzo, Luis  and
Ritter, Alan  and
Wang, Lu","Endangered languages, such as Navajo{---}the most widely spoken Native American language{---}are significantly underrepresented in contemporary language technologies, exacerbating the challenges of their preservation and revitalization. This study evaluates Google{'}s Language Identification (LangID) tool, which does not currently support any Native American languages. To address this, we introduce a random forest classifier trained on Navajo and twenty erroneously suggested languages by LangID. Despite its simplicity, the classifier achieves near-perfect accuracy (97-100{\%}). Additionally, the model demonstrates robustness across other Athabaskan languages{---}a family of Native American languages spoken primarily in Alaska, the Pacific Northwest, and parts of the Southwestern United States{---}suggesting its potential for broader application. Our findings underscore the pressing need for NLP systems that prioritize linguistic diversity and adaptability over centralized, one-size-fits-all solutions, especially in supporting underrepresented languages in a multicultural world. This work directly contributes to ongoing efforts to address cultural biases in language models and advocates for the development of culturally localized NLP tools that serve diverse linguistic communities."
2025,On Using {A}rabic Language Dialects in Recommendation Systems,"Alshabanah, Abdulla  and
Annavaram, Murali",10.18653/v1/2025.findings-naacl.115,https://aclanthology.org/2025.findings-naacl.115/,Association for Computational Linguistics,Findings of the Association for Computational Linguistics: NAACL 2025,"Chiruzzo, Luis  and
Ritter, Alan  and
Wang, Lu","While natural language processing (NLP) techniques have been applied to user reviews in recommendation systems, the potential of leveraging Arabic dialects in this context remains unexplored. Arabic is spoken by over 420 million people, with significant dialectal variation across regions. These dialects, often classified as low-resource languages, present both challenges and opportunities for machine learning applications. This paper represents the first attempt to incorporate Arabic dialects as a signal in recommendation systems. We explore both explicit and implicit approaches for integrating Arabic dialect information from user reviews, demonstrating its impact on improving recommendation performance. Our findings highlight the potential for leveraging dialectal diversity in Arabic to enhance recommendation systems and encourage further research at the intersection of NLP and recommendation systems within the Arab multicultural world."
2025,Human and {LLM}-Based Resume Matching: An Observational Study,"Vaishampayan, Swanand  and
Leary, Hunter  and
Alebachew, Yoseph Berhanu  and
Hickman, Louis  and
Stevenor, Brent A.  and
Beck, Weston  and
Brown, Chris",10.18653/v1/2025.findings-naacl.270,https://aclanthology.org/2025.findings-naacl.270/,Association for Computational Linguistics,Findings of the Association for Computational Linguistics: NAACL 2025,"Chiruzzo, Luis  and
Ritter, Alan  and
Wang, Lu","Resume matching assesses the extent to which candidates qualify for jobs based on the content of resumes. This process increasingly uses natural language processing (NLP) techniques to automate parsing and rating tasks{---}saving time and effort. Large language models (LLMs) are increasingly used for this purpose{---}thus, we explore their capabilities for resume matching in an observational study. We compare zero-shot GPT-4 and human ratings for 736 resumes submitted to job openings from diverse fields using real-world evaluation criteria. We also study the effects of prompt engineering techniques on GPT-4 ratings and compare differences in GPT-4 and human ratings across racial and gender groups. Our results show: LLM scores correlate minorly with humans, suggesting they are not interchangeable; prompt engineering such as CoT improves the quality of LLM ratings; and LLM scores do not show larger group differences (i.e., bias) than humans. Our findings provide implications for LLM-based resume rating to promote more fair and NLP-based resume matching in a multicultural world."
2025,Evaluation of Multilingual Image Captioning: How far can we get with {CLIP} models?,"Gomes, Goncalo Emanuel Cavaco  and
Zerva, Chrysoula  and
Martins, Bruno",10.18653/v1/2025.findings-naacl.287,https://aclanthology.org/2025.findings-naacl.287/,Association for Computational Linguistics,Findings of the Association for Computational Linguistics: NAACL 2025,"Chiruzzo, Luis  and
Ritter, Alan  and
Wang, Lu","The evaluation of image captions, looking at both linguistic fluency and semantic correspondence to visual contents, has witnessed a significant effort. Still, despite advancements such as the CLIPScore metric, multilingual captioning evaluation has remained relatively unexplored. This work presents several strategies, and extensive experiments, related to evaluating CLIPScore variants in multilingual settings. To address the lack of multilingual test data, we consider two different strategies: (1) using quality aware machine-translated datasets with human judgements, and (2) re-purposing multilingual datasets that target semantic inference and reasoning. Our results highlight the potential of finetuned multilingual models to generalize across languages and to handle complex linguistic challenges. Tests with machine-translated data show that multilingual CLIPScore models can maintain a high correlation with human judgements across different languages, and additional tests with natively multilingual and multicultural data further attest to the high-quality assessments."
2024,Stanceosaurus 2.0 - Classifying Stance Towards {R}ussian and {S}panish Misinformation,"Lavrouk, Anton  and
Ligon, Ian  and
Zheng, Jonathan  and
Naous, Tarek  and
Xu, Wei  and
Ritter, Alan",,https://aclanthology.org/2024.wnut-1.4/,Association for Computational Linguistics,Proceedings of the Ninth Workshop on Noisy and User-generated Text (W-NUT 2024),"van der Goot, Rob  and
Bak, JinYeong  and
M{\""u}ller-Eberstein, Max  and
Xu, Wei  and
Ritter, Alan  and
Baldwin, Tim","The Stanceosaurus corpus (Zheng et al., 2022) was designed to provide high-quality, annotated, 5-way stance data extracted from Twitter, suitable for analyzing cross-cultural and cross-lingual misinformation. In the Stanceosaurus 2.0 iteration, we extend this framework to encompass Russian and Spanish. The former is of current significance due to prevalent misinformation amid escalating tensions with the West and the violent incursion into Ukraine. The latter, meanwhile, represents an enormous community that has been largely overlooked on major social media platforms. By incorporating an additional 3,874 Spanish and Russian tweets over 41 misinformation claims, our objective is to support research focused on these issues. To demonstrate the value of this data, we employed zero-shot cross-lingual transfer on multilingual BERT, yielding results on par with the initial Stanceosaurus study with a macro F1 score of 43 for both languages. This underlines the viability of stance classification as an effective tool for identifying multicultural misinformation."
2024,"Address forms, politeness, and framing among multicultural students in an {I}ndonesian university","Yuwono, Muhammad Jawad  and
Santoso, Wulandari",,https://aclanthology.org/2024.paclic-1.106/,Tokyo University of Foreign Studies,"Proceedings of the 38th Pacific Asia Conference on Language, Information and Computation","Oco, Nathaniel  and
Dita, Shirley N.  and
Borlongan, Ariane Macalinga  and
Kim, Jong-Bok",
2024,{S}ea{E}val for Multilingual Foundation Models: From Cross-Lingual Alignment to Cultural Reasoning,"Wang, Bin  and
Liu, Zhengyuan  and
Huang, Xin  and
Jiao, Fangkai  and
Ding, Yang  and
Aw, AiTi  and
Chen, Nancy",10.18653/v1/2024.naacl-long.22,https://aclanthology.org/2024.naacl-long.22/,Association for Computational Linguistics,Proceedings of the 2024 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),"Duh, Kevin  and
Gomez, Helena  and
Bethard, Steven","We present SeaEval, a benchmark for multilingual foundation models. In addition to characterizing how these models understand and reason with natural language, we also investigate how well they comprehend cultural practices, nuances, and values. Alongside standard accuracy metrics, we investigate the brittleness of foundation models in the dimensions of semantics and multilinguality. Our analyses span both open-sourced and closed models, leading to empirical results across classic NLP tasks, reasoning, and cultural comprehension. Key findings indicate (1) Many models exhibit varied behavior when given paraphrased instructions. (2) Many models still suffer from exposure bias (e.g., positional bias, majority label bias). (3) For questions rooted in factual, scientific, and commonsense knowledge, consistent responses are expected across multilingual queries that are semantically equivalent. Yet, most models surprisingly demonstrate inconsistent performance on these queries. (4) Multilingually-trained models have not attained ``balanced multilingual'' capabilities. Our endeavors underscore the need for more generalizable semantic representations and enhanced multilingual contextualization. SeaEval can serve as a launchpad for more thorough investigations and evaluations for multilingual and multicultural scenarios."
2024,Are Multilingual {LLM}s Culturally-Diverse Reasoners? An Investigation into Multicultural Proverbs and Sayings,"Liu, Chen  and
Koto, Fajri  and
Baldwin, Timothy  and
Gurevych, Iryna",10.18653/v1/2024.naacl-long.112,https://aclanthology.org/2024.naacl-long.112/,Association for Computational Linguistics,Proceedings of the 2024 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),"Duh, Kevin  and
Gomez, Helena  and
Bethard, Steven","Large language models (LLMs) are highly adept at question answering and reasoning tasks, but when reasoning in a situational context, human expectations vary depending on the relevant cultural common ground. As languages are associated with diverse cultures, LLMs should also be culturally-diverse reasoners. In this paper, we study the ability of a wide range of state-of-the-art multilingual LLMs (mLLMs) to reason with proverbs and sayings in a conversational context. Our experiments reveal that: (1) mLLMs ``know'' limited proverbs and memorizing proverbs does not mean understanding them within a conversational context; (2) mLLMs struggle to reason with figurative proverbs and sayings, and when asked to select the wrong answer (instead of asking it to select the correct answer); and (3) there is a ``culture gap'' in mLLMs when reasoning about proverbs and sayings translated from other languages. We construct and release our evaluation dataset MAPS (MulticulturAl Proverbs and Sayings) for proverb understanding with conversational context for six different languages."
2024,M5 {--} A Diverse Benchmark to Assess the Performance of Large Multimodal Models Across Multilingual and Multicultural Vision-Language Tasks,"Schneider, Florian  and
Sitaram, Sunayana",10.18653/v1/2024.findings-emnlp.250,https://aclanthology.org/2024.findings-emnlp.250/,Association for Computational Linguistics,Findings of the Association for Computational Linguistics: EMNLP 2024,"Al-Onaizan, Yaser  and
Bansal, Mohit  and
Chen, Yun-Nung","Since the release of ChatGPT, the field of Natural Language Processing has experienced rapid advancements, particularly in Large Language Models (LLMs) and their multimodal counterparts, Large Multimodal Models (LMMs). Despite their impressive capabilities, LLMs often exhibit significant performance disparities across different languages and cultural contexts, as demonstrated by various text-only benchmarks. However, current research lacks such benchmarks for multimodal visio-linguistic settings. This work fills this gap by introducing M5, the first comprehensive benchmark designed to evaluate LMMs on diverse vision-language tasks within a multilingual and multicultural context. M5 includes eight datasets covering five tasks and 41 languages, with a focus on underrepresented languages and culturally diverse images. Furthermore, we introduce two novel datasets, M5-VGR and M5-VLOD, including a new Visio-Linguistic Outlier Detection task, in which all evaluated open-source models fail to significantly surpass the random baseline. Through extensive evaluation and analyses, we highlight substantial task-agnostic performance disparities between high- and low-resource languages. Moreover, we show that larger models do not necessarily outperform smaller ones in a multilingual setting."
2024,From Local Concepts to Universals: Evaluating the Multicultural Understanding of Vision-Language Models,"Bhatia, Mehar  and
Ravi, Sahithya  and
Chinchure, Aditya  and
Hwang, EunJeong  and
Shwartz, Vered",10.18653/v1/2024.emnlp-main.385,https://aclanthology.org/2024.emnlp-main.385/,Association for Computational Linguistics,Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing,"Al-Onaizan, Yaser  and
Bansal, Mohit  and
Chen, Yun-Nung","Despite recent advancements in vision-language models, their performance remains suboptimal on images from non-western cultures due to underrepresentation in training datasets. Various benchmarks have been proposed to test models' cultural inclusivity. Still, they have limited coverage of cultures and do not adequately assess cultural diversity across universal and culture-specific local concepts. To address these limitations, we introduce the GlobalRG benchmark, comprising two challenging tasks: retrieval across universals and cultural visual grounding. The former task entails retrieving culturally diverse images for universal concepts from 50 countries, while the latter aims at grounding culture-specific concepts within images from 15 countries. Our evaluation across a wide range of models reveals that the performance varies significantly across cultures {--} underscoring the necessity for enhancing multicultural understanding in vision-language models."
2024,Emojilingo: Harnessing {AI} to Translate Words into Emojis,"Chiusaroli, Francesca  and
Sangati, Federico  and
Monti, Johanna  and
Pierucci, Maria Laura  and
Uricchio, Tiberio",,https://aclanthology.org/2024.clicit-1.25/,CEUR Workshop Proceedings,Proceedings of the 10th Italian Conference on Computational Linguistics (CLiC-it 2024),"Dell'Orletta, Felice  and
Lenci, Alessandro  and
Montemagni, Simonetta  and
Sprugnoli, Rachele","This paper presents an AI experiment of translation in emoji conducted on a glossary from Dante Alighieri{'}s Comedy. The experiment is part of a project aiming to build up an automated emojibased pivot language providing an interlingua as a tool for linguistic simplification, accessibility, and international communication: Emojilingo. The present test involves human (Emojitaliano) and machine (Chat-GPT) translations in a comparative analysis to devise an automated integrated model highlighting emojis' expressive ability in transferring senses, clarifying semantic obscurities and ambiguities, and simplifying language. A first preliminary evaluation highlights Chat-GPT{'}s ability to deal with a classic archaic literary vocabulary, also raising issues on managing criteria for better grasping the meanings and forms and about the multicultural extent of content transfer."
