year,title,author,doi,url,publisher,booktitle,editor,abstract
2024,A Dynamically Evolving Multicultural Escape Suitcase Travelling a Participatory Journey,"Becker, Katja and Winschiers-Theophilus, Heike and Maasz, Donovan and Auala, Selma and Itenge, Helvi and Isaacs, Joseph-David and Peter, Kaulyaalalwa and Goagoses, Naska",10.1145/3661456.3666048,https://doi.org/10.1145/3661456.3666048,Association for Computing Machinery,"Proceedings of the Participatory Design Conference 2024: Situated Actions, Doctoral Colloquium, PDC Places, Communities - Volume 3",,"Escape rooms have gained popularity across the globe, be it for entertainment, team building, or learning purposes. Solving puzzles has intrigued humanity since ancient times and playing games together facilitated intercultural encounters, encouraging mutual learning. This situated action builds on the idea of a mobile escape room within a suitcase, which when traveling shares previous encounters and collects new puzzles, thereby ever evolving. A suitcase will arrive in Sibu, Malaysia, with augmented reality stickers that entail puzzles created in Namibia. Visitors need to solve the puzzles to open the suitcase, which contains treats from Namibia, as well as materials to create new puzzles. Visitors participate in creating their own cultural puzzles, upload them to the augmented reality application, and thereby contribute to a new multicultural escape suitcase. The puzzles can also be played back at home, and the suitcase will continue evolving as it travels."
2024,Navigating Cultural Diversity: Barriers and Benefits in Multicultural Agile Software Development Teams,"Welsch, Daniel and Burk, Luisa and M\""{o}tefindt, David and Neumann, Michael",10.1145/3605098.3635988,https://doi.org/10.1145/3605098.3635988,Association for Computing Machinery,Proceedings of the 39th ACM/SIGAPP Symposium on Applied Computing,,"Context: Social aspects are of high importance for being successful using agile methods in software development. People are influenced by their cultural imprint, as the underlying cultural values are guiding us in how we think and act. Thus, one may assume that in multicultural agile software development teams, cultural characteristics influence the result in terms of quality of the team work and consequently, the product to be delivered. Objective: We aim to identify barriers and benefits that may arise in multicultural agile software development teams to provide valuable strategies for both researchers and practitioners faced with barriers or potential benefits of cultural diversity. Method: The single-case study comprising two units of analysis (agile software development teams). Our approach further include a mixed-method design consisting quantitative and qualitative data collection and analysis methods. Results: First, our results suggest that the cultural characteristics at the team level need to be analyzed individually in intercultural teams. Second, we identified key benefits regarding cultural characteristics such as a individual team subculture that fits agile values like open communication. Third, we derived strategies supporting the benefits of cultural diversity in agile software development teams. Conclusion: Our findings show, that a deeper understanding of cultural influences in multicultural agile software development teams is needed. Based on the results, we already prepare future work to validate the results in other industries."
2024,Designing for Harm Reduction: Communication Repair for Multicultural Users' Voice Interactions,"Wenzel, Kimi and Kaufman, Geoff",10.1145/3613904.3642900,https://doi.org/10.1145/3613904.3642900,Association for Computing Machinery,Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,,"Voice assistants’ inability to serve people-of-color and non-native English speakers has largely been documented as a quality-of-service harm. However, little work has investigated what downstream harms propagate from this poor service. How does poor usability materially manifest and affect users’ lives? And what interaction designs might help users recover from these effects? We identify 6 downstream harms that propagate from quality-of-service harms in voice assistants. Through interviews and design activities with 16 multicultural participants, we unveil these 6 harms, outline how multicultural users uniquely personify their voice assistant, and suggest how these harms and personifications may affect their interactions. Lastly, we employ techniques from psychology on communication repair to contribute suggestions for harm-reducing repair that may be implemented in voice technologies. Our communication repair strategies include: identity affirmations (intermittent frequency), cultural sensitivity, and blame redirection. This work shows potential for a harm-repair framework to positively influence voice interactions."
2024,Multicultural Observations in a Three-University Global Distributed Software Development Course: A UML Case Study,"Marutschke, Daniel Moritz and Brockmann, Patricia and Kurniawan, Tri Astoto and Kovacs, Mate and Kryssanov, Victor V.",10.1145/3698062.3698077,https://doi.org/10.1145/3698062.3698077,Association for Computing Machinery,Proceedings of the 2024 The 6th World Symposium on Software Engineering (WSSE),,"In our increasingly interconnected world, software engineering students need increased exposure to not only state of the art technology, but to its usage and development in multicultural environments. This paper reports on findings from a global software engineering course taught at three universities in Japan, Germany, and Indonesia. Questionnaire and interview data gathered ex-ante (before) and ex-post (after) the semester about cultural dimensions and UML usage are analyzed qualitatively and quantitatively. The perceived importance of cultural dimensions was compared to previous two-university classes. Experience reports from instructors are described. Unique dynamics in students’ perception of cultural dimensions could be observed. UML challenges self-reported are consistent with previous research findings. An ex-ante to ex-post comparison supports the implementation of real-world projects taught in PBL-style. These findings together are presented as best practices and lessons learned."
2025,Adapting Communication Styles in Health Chatbot using Large Language Models to Support Family Caregivers from Multicultural Backgrounds,"Baik, Rebekah Lee and Lee, Stephanie and Xie, Serena Jinchen and Liao, Wang and Hwang, Elina H. and Yuwen, Weichao",10.1145/3706599.3719711,https://doi.org/10.1145/3706599.3719711,Association for Computing Machinery,Proceedings of the Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,,"Large language models (LLMs) have enabled the development of increasingly sophisticated AI chatbots, yet these systems rarely consider the cultural context in their interactions. However, individuals from different cultural backgrounds may have distinct communication preferences when interacting with healthcare providers, which can affect therapeutic alliances. This paper presents a technical framework for developing culturally sensitive therapeutic chatbots that systematically adapt to different communication styles. We developed a two-agent system: a therapist agent providing problem-solving therapy, and a communication style modifier agent that adjusts these responses according to six communication styles: Authoritative, Concise, Conversationally Dominant, Informal, Sentimental, and Talkative style. An experimental study demonstrated that our system successfully produced perceivable differences in communication styles, with adapted responses receiving significantly higher style-specific ratings compared to unadapted responses. These results suggest that LLM-based therapeutic chatbots can be effectively modified to exhibit distinct communication styles, laying the groundwork for developing culturally adaptive therapeutic chatbots."
2022,The Mechanism Research of Teacher's Quality Formation in Multicultural Education: ——Taking Macau's Basic Education as an Example,"Wu, Xiaoshan and Zhang, Hongfeng and Lam, Johnny F. I. and Li, Fanbo",10.1145/3543321.3543367,https://doi.org/10.1145/3543321.3543367,Association for Computing Machinery,Proceedings of the 7th International Conference on Distance Education and Learning,,"Abstract: In multicultural education, attitude, knowledge, capability, and information technology are the four dimensions of teachers' competencies. Regarding the Grounded Theory as the methodological framework, this study used semi-structured in-depth interviews to collect the original interview data and used thematic analysis to code the interview texts to reveal the inner mechanism of multicultural education teachers' competencies formation. The study results showed no necessary connection between the identification of multicultural education values and the formation of educational knowledge. Critical thinking is the most crucial aspect of constructing educational knowledge, closely related to educational training and individual teachers' autonomy."
2022,How to Construct a Multicultural Vocational Education and Training (MVET) Center in Macao – A Study Based on a Semi-Structured Interview and Thematic Analysis Method,"Lam, Johnny F.I. and Jiagui, Li and Zhang, Hongfeng and Jin, Yao",10.1145/3535756.3535778,https://doi.org/10.1145/3535756.3535778,Association for Computing Machinery,Proceedings of the 8th International Conference on Education and Training Technologies,,"As a multicultural city, Macao has a long history of multicultural education and training. Macao's Multicultural Vocational Education and Training (MVET) is one of the important pillars of the One Base development plan. From this One Base, Macao will serve as a base for exchange and cooperation to promote a moderately diversified economy in which Chinese culture is the mainstream and diverse cultures coexist. This study analyzes how to build Macao's MVET center and utilizes a semi-structured interview method with 20 interviewees including professors, entrepreneurs, and government officials. The study then uses thematic analysis to divide the topics into 3 core training project categories: professional training enterprises, offline branch training centers, and online cloud training centers. Macao's MVET center should have the full support of all parties and can be divided into three aspects: first, building a professional training enterprise that is privately owned, university supported, government aided, and has association participation; second, developing an offline branch training center in the Guangdong-Macao in-depth cooperation zone in Hengqin and providing multicultural courses for the Guangdong-Hong Kong-Macao Greater Bay Area; third, building a multicultural training cloud platform and providing bilingual training for the Belt and Road countries, particularly Portuguese-speaking countries. This study is an integrated analysis of Macao's MVET offline and online centers and provides a sound foundation for future research on Macao's MVET center. It would be of interest to scholars and policymakers, as well as enterprises."
2022,Designing Multicultural Problem-Based Learning Model in 2013 Curriculum,"Qondias, Dimas and Bagus Putu Arnyana, Ida and Dantes, Nyoman and Lasmawan, Wayan",10.1145/3516875.3516950,https://doi.org/10.1145/3516875.3516950,Association for Computing Machinery,Proceedings of the 5th International Conference on Learning Innovation and Quality Education,,"This study aims to (1) find out, describe and formulate the design of a multicultural problem-based learning model, (2) find out and describe the validity of the multicultural problem-based model. This&nbsp;research&nbsp;is a&nbsp;development&nbsp;research&nbsp;with&nbsp;ADDIE&nbsp;development method The instrument of the&nbsp;feasibility of the learning model is viewed from the aspects of&nbsp;(1)&nbsp;Syntax, (2) Social System, (3) Reaction Principle, (4) Support System, (5) Learning Impact.&nbsp;Determination of content validity using the Lawshe method, involving 5 experts.&nbsp;Data analysis method to obtain the results of model development with descriptive analysis techniques&nbsp;using&nbsp;the CVR&nbsp;Content Validity Ratio)&nbsp;method.&nbsp;The results of the research (1) Problem-Based Learning Model with Multicultural Content is designed with the stages of&nbsp;preliminary, core and closing activities by&nbsp;integrating multicultural content&nbsp;with&nbsp;divine&nbsp;values, human rights justice, unity, democracy and social justice.&nbsp;(2) The results of the validity of&nbsp;the developed&nbsp;model&nbsp;were&nbsp;declared valid by 5 experts.&nbsp;The multicultural problem-based learning model that has been&nbsp;designed is&nbsp;feasible&nbsp;to&nbsp;be implemented&nbsp;to determine its effectiveness."
2021,Gamification: Serious Games to promote multicultural attributes at PrepaTec Morelia HighSchool,"Audiffred Hinojosa, Arlette",10.1145/3486011.3486435,https://doi.org/10.1145/3486011.3486435,Association for Computing Machinery,Ninth International Conference on Technological Ecosystems for Enhancing Multiculturality (TEEM'21),,
2020,Information Technology in Multicultural Educational Environment: Teaching Art Students Fractal Geometry,"Pesetskaya, Tatiana and Zhylinskaya, Tatsiana",10.1145/3369255.3369292,https://doi.org/10.1145/3369255.3369292,Association for Computing Machinery,Proceedings of the 11th International Conference on Education Technology and Computers,,"This paper discusses the challenges of learning in multicultural educational environment. It proposes approaches of using information technology tools such as on-line internet resources, mobile devises, mobile programs for calculations etc. in international students groups for teaching art students fractal geometry. Some exercises for easy comprehension of such mathematical concepts as self-similarity, iterative process, recursion, convergent and divergent sequences, infinite sequences are designed. The paper considers the phenomenon of using technology as medium of instruction in the international students groups. The challenge of considering and using the means of information technology when developing pedagogical tools, techniques and approaches to teach students in multicultural educational environment is posed."
