year,title,author,doi,url,publisher,booktitle,editor,abstract
2021,A Study on Computer Assisted Multi-Dimensional Intelligent Teaching through Fuzzy Comprehensive Evaluation Model,"Zhu, Xiaoxian",10.1109/ICDSCA53499.2021.9650103,,,2021 IEEE International Conference on Data Science and Computer Application (ICDSCA),,"The multi-dimensional construction of college English system is an inevitable choice for higher education to move toward diversification, internationalization and modernization. Exploring the construction of college English education system through a multicultural perspective will help achieve the sustainable development of English education. English education must persist in implementing diversified teaching strategies and create a cultural education system with humanistic characteristics. Based on this research background, the article establishes the application evaluation of the diversified teaching system of college English. The article first established a classroom teaching evaluation index system, and then used the analytic hierarchy process to determine the weight of each index in the classroom teaching evaluation system. The fuzzy comprehensive evaluation model finally obtains the evaluation results and analyzes and summarizes them."
2016,Learning Energy Storage in Hybrid/Electric Vehicles: Erasmus Mundus Master Course in Sustainable Transportation & Electrical Power Systems,"Diaz, J. and Pernia, A. M. and Guerrero, J. M. and Pereirinha, Paulo G. and Williams, Arthur",10.1109/VPPC.2016.7791719,,,2016 IEEE Vehicle Power and Propulsion Conference (VPPC),,"The ""Erasmus Mundus Master Course in Sustainable Transportation & Electrical Power Systems"" is supported by three universities, located in Spain, Italy and United Kingdom, and a Polytechnic Institute in Portugal. One of the main goals is the training of qualified staff in areas related to electrical energy management, emphasizing in power systems for electric propulsion vehicles and renewable energies. Among others, the subject ""Energy Storage and Recovery in Power Systems and Hybrid/Electric Vehicles"" is considered a keystone in the Master. During third semester, the students who follow the technical track, have to develop small projects and tasks related to electric vehicles, battery management, power stages for battery charger and so on. This paper show the goals and the results obtained in these topics. All of these topics are partially collected in one subject, with a high practical content. The students have to learn not only the theoretical topics, but they have to elaborate a project, in a work team and use modern laboratory equipment as well. It should be noted that the students have to work and collaborate in a multicultural environment, with students and professors. This paper describes the subject methodology, and the results obtained."
2023,Artificial Intelligence (AI) Enabled Music Player System for User Facial Recognition,"Rehash Rushmi Pavitra, A. and Anushree, K and Akshayalakshmi, A V R and Vijayalakshmi, K",10.1109/INCET57972.2023.10170476,,,2023 4th International Conference for Emerging Technology (INCET),,"Artificial Intelligence (AI) refers to the use of advanced computational algorithms and technologies to replicate or simulate human intelligence in machines or computer systems. Human expression is incredibly important in determining a person’s current condition and mood. AI is utilized to analyze human facial expressions and extract emotions based on features such as cheeks, forehead, eyes, and smiles. In addition, “songs” refers to an expressive medium that has always been the best option for analyzing and comprehending human emotions. The proposed ’smart music player' is a programmed system that functions under the assumption that we can tell someone’s mood by the expression on his/her face. This model that recognizes facial micro-expressions with multicultural facial expression details, recommends music in accordance with corresponding mood. It is developed using a combination of song’s features and micro-expression recognition technology of convolutional neural network. To do this, group facial expressions into seven distinct emotional groups, including happy, sad, angry, neutral, surprise and disgust. The primary objective of this study paper is to present an overview of a useful music player and social companion that automatically creates a playlist that will brighten your day based on your emotional condition, along with recommendations for future studies in the field of recommendation systems."
2017,"The value of establishing a community of teachers for the gamification of prosocial learning: Pegadogical, social and developmental aspects of a teachers' community space experience","Cobello, Stefano and Berganza, Pilar Pérez and Milli, Elena and Zygouritsas, Nikos",10.1109/VS-GAMES.2017.8056600,,,2017 9th International Conference on Virtual Worlds and Games for Serious Applications (VS-Games),,"In today's multicultural world, where the meeting of different cultures breeds suspicion and division, the school has the responsibility to provide adequate support so that every person develop an open and aware identity. The community is a space of identity developed through the idea and the perception of being part of a group of persons that believe in the same objectives and ideals. The development of a community of teachers within a project focused on the gamification of prosocial learning for increased youth inclusion and academic achievement, allows us to analyse in depth the social and the pedagogical aspects that lies underneath the structure of a community. The teachers are the core elements and they will be guided by the project partners through the different steps of the community building: the sharing of the values, then the practices and finally the actions, in a path that will grant the fruitful growth of such community."
2022,Urban Public Art Communication Algorithm based on Smart Virtual Cloud Platform and Artificial Intelligence Algorithm,"Liu, Zhaohui",10.1109/ICCMC53470.2022.9754153,,,2022 6th International Conference on Computing Methodologies and Communication (ICCMC),,"The image of the city is an important factor of the city’s culture, including the city’s historical origins, spiritual beliefs, social features, and morphological characteristics. As a more prominent and direct means of expression in the image of a city, public art not only symbolically expresses and records the self-deduction of the city, but also an important medium for city publicity and marketing. In the context of multicultural collisions, how should to construct and maintain a distinctive city image? How to give full play to the true value of public art. This article analyzes the effective communication of public art media in the construction of urban image from the perspective of communication science as high as 98.2%."
2024,Application of the COIL Methodology to Learn About Clean and Affordable Energy in the Metaverse.,"Caneppele, Fernando de Lima and Alvarez, Jorge and De Leon, Arturo",10.1109/EDUNINE60625.2024.10500463,,,2024 IEEE World Engineering Education Conference (EDUNINE),,"Higher education institutions can promote global citizenship learning through Collaborative Online International Learning (COIL) strategies, which offer an innovative way to engage students in a shared, multicultural, and collaborative online learning environment. This article presents the results of a COIL activity conducted between engineering students from Tecnológico de Monterrey (Mexico) and the State University of Sao Paulo (Brazil). During the experience, students participated in collaborative activities to learn how to generate clean energy in the so-called Tec Virtual Campus Metaverse. The results obtained show that the students accepted and positively valued this COIL methodology, as it allowed them to develop collaborative skills, broaden their knowledge about clean and affordable energy, and foster a global awareness of the importance of addressing today's energy challenges. In addition, they expressed their desire to use this methodology again in future learning projects, highlighting its effectiveness in promoting meaningful learning and intercultural interaction."
2020,How Chinese University’s ideological and political education leads the trend of social ideological in the era of big data,"Jiabin, Wang and Huilan, Jing",10.1109/ICBDIE50010.2020.00017,,,2020 International Conference on Big Data and Informatization Education (ICBDIE),,"Colleges and universities are the main battlefield for ideological construction in many countries and political parties. They are also at the forefront of the fusion and confrontation of multicultural and various online social trends. In the era of big data, a variety of ideological trends in the network society are surging, and non-Marxist ideological consciousness is growing. All of these have brought huge challenges to the ideological and political education of Chinese universities. The way of Chinese universities using ideological and political education to lead the ideological trend of the Internet society is of great importance in practice. Chinese universities should speed up the construction of a socialist ideological discourse system with Chinese characteristics. Besides, they should improve the quality of ideological and political education. What's more, they must innovate ideological education methods. At the same time, Chinese ideological and political educators should lead the college student group to resist all kinds of erroneous trends in the Internet society and support the ideological and political education work of college students in China. This series of measures is of great significance for promoting the theme."
2017,Virtual reality as a training tool for human interactions,"Pais, Fernando and Patrão, Bruno and Menezes, Paulo",10.1109/EXPAT.2017.7984411,,,2017 4th Experiment@International Conference (exp.at'17),,"With the increasingly globalisation of the world, interaction with people from different cultures than ours is more likely than ever. Knowing how to correctly approach and interact with people that have different social norms than us is a necessary condition to live in this multicultural world. This project provides a tool to learn how to adapt the way we behave. This is achieved using a virtual reality environment as a way to train interactions, with focus on the interpersonal distances we take."
2018,PROMOTING PEACE BY EDUCATING GLOBALLY COMPETENT ENGINEERS,"Ilyas, Mohammad",10.1109/WEEF-GEDC.2018.8629729,,,2018 World Engineering Education Forum - Global Engineering Deans Council (WEEF-GEDC),,"Engineering education focuses on finding solutions to societal challenges. The phenomenon of globalization continues to relax the societal boundaries. Communication technologies have shrunk the distances through increased connectivity. Flow of information around the globe is almost instant. The world has essentially become a global village. The concept of society and societal challenges continue to evolve. Engineers frequently find themselves working in multinational projects and multinational teams. Understanding and respecting various cultures must of an integral part of training engineers to be effective in such environments. It is, therefore, essential to produce engineers with global competencies which include respect for diversity, difference of opinions, ethics, and multicultural social skills. When put in practice, these aspects bring tranquility, lead to social justice, and eventually to a peaceful world. This paper discusses a process to produce globally competent engineers with skills to promote peace. The paper includes curricular changes necessary to impart global competencies."
2020,Professional Competencies in Computing Education: Are They Important?,"Szynkiewicz, Justyna and Lundberg, Gunhild M. and Daniels, Mats",10.1109/FIE44824.2020.9273987,,,2020 IEEE Frontiers in Education Conference (FIE),,"In this Work in Progress paper, we discuss why including professional competencies into computing education curriculum is important. We are particularly interested in competencies that students could and, we believe, should acquire during collaborative learning experiences in project-based IT courses. In the times of globalization and technological advancement, there is a need for competencies like collaborating, communicating, working in interdisciplinary and multicultural teams, while computing education tends to focus on content knowledge and technical skills. Which is contrary to the emphasis companies put on soft skills in a hiring situation. This discussion and reflection paper discuss how employability, and identity frameworks can be used to analyse professional competencies in a project course environment in Norway? This paper focuses on how professional competencies should be implemented in the curriculum of computing degree programs and courses in the Norwegian university system. We use Curtin's graduate attributes"" framework used by an Australian university as an example of learning outcomes that emphasize professional competencies. In this conceptual paper we discuss how putting more emphasis on graduate attributes, employability and identity can help to legitimize diverse ways of participation in the computing discipline and at the same time broaden the identity of the computing discipline."
