year,title,author,doi,url,publisher,booktitle,editor,abstract
2024,5 - Framework part II: artificial intelligence + political economics,Dominique J. Monlezun,https://doi.org/10.1016/B978-0-443-21597-1.00005-6,https://www.sciencedirect.com/science/article/pii/B9780443215971000056,Morgan Kaufmann,Responsible Artificial Intelligence Re-engineering the Global Public Health Ecosystem,Dominique J. Monlezun,"This chapter considers the political economic or meta-determinants of health for the global public health ecosystem, critical for the scale, scope, and speed of coordinated actions (including in consensus-based governance and financing) to generate equitable and effective global health solutions to urgent shared challenges. Rising international separation and tensions between democracies and autocracies in addition to the Global North and the Global South undermines the health of these regimes and regions and that of humanity. This chapter thus considers global health and artificial intelligence (AI) in their political economic context in the strategic competition of dominant power players, particularly with the governments, militaries, and corporations of the United States and China which account for most of the global health financing and programs along with that of AI’s development and deployment. Failures in managed strategic competition can not only undermine the cooperation required for the AI-driven global public health ecosystem, but they may even imperil it through accelerated and even catastrophic conflicts. This chapter therefore considers the history and foreseeable future of the global public health ecosystem from the structural perspective of political economics, including the underlying values that may provide a durable foundation for coordinated health action. It additionally considers emergent solutions and advances for the health ecosystem toward this including with human security and data sovereignty within Political Liberalism articulating a bridge between the above blocs, while addressing health determinants integrally and globally: social determinants of health, political determinants of health, economic determinants of health, commercial determinants of health, and digital determinants of health. Specific advances include shared global governance, affordable clean energy transition, and affordable AI digital transformation for sustainable development (with deference and deterrence guardrails maximizing cooperation, managing strategic competition, and minimizing conflict). The chapter additionally considers medical diplomacy, multilateral development, deep medicine, large language models (including ChatGPT), commercial fusion, and digital supply chain resilience (with diversification and de-risking), in the context of moving away from an imperial ideological values-driven ruler-based world order to a more sovereign integral values-driven rules-based world order."
2015,Author Biographies,,https://doi.org/10.1016/B978-0-12-799959-3.11001-8,https://www.sciencedirect.com/science/article/pii/B9780127999593110018,Morgan Kaufmann,The Complete Business Process Handbook,Mark {von Rosing} and August-Wilhelm Scheer and Henrik {von Scheel},
2024,The protection of vulnerable algorithmic groups through collective data protection in the onlife world: A Brazilian perspective,Diego Machado,https://doi.org/10.1016/j.clsr.2024.106027,https://www.sciencedirect.com/science/article/pii/S0267364924000931,,,,"The aim of this doctrinal legal study is to analyze the interplay between the vulnerability of groups in algorithmic systems and the protection of collective interests in data protection law in Brazil's legal system. Two research questions are raised: (i) Is the protection of personal data regulation applicable to data processing activities related to algorithmic groups? and (ii) can algorithmic groups be regarded as groups with vulnerability under the LGPD legal regime? This article is divided into three parts apart from the introduction, and combines three strands of research, namely group rights theory, vulnerability studies, and law and technology perspective. This combination is key to outline, in Sections 2 and 3, a theoretical framework that elucidates the concepts of collective data protection and group vulnerability mapping both onto the notion of algorithmic groups. Section 2 argues for the collective dimension of the right to the protection of personal data as the foundation of a collective data protection. Section 3, in turn, explores the conceptualization of group vulnerability and how this discourse resonates with algorithmic groups in the onlife world. I draw on vulnerability studies, and on Mireille Hildebrandt's law and technology perspective to delineate what do I mean by group vulnerability and how do I articulate theoretically this notion with algorithmic groups and the affordances of algorithmic systems. Section 4 examines the relation between collective data protection and vulnerability of algorithmic groups under the data protection legal framework in Brazil. To answer the research questions, the analysis is concentrated on three aspects of Brazilian data protection law: (i) the “collectivization of data protection”; (ii) the integration of group vulnerability in the data protection legal framework; (iii) data protection impact assessments in the context of LGPD's risk-based approach. The collective dimension of the right to personal data protection is increasingly recognized in Brazilian law through class-action litigation, particularly in the context of addressing vulnerabilities caused by new data-driven technologies. This collective dimension should guide courts and the Brazilian DPA in interpreting and applying the LGPD, especially Art. 12, § 2, regarding group data processing by algorithmic profiling systems. Data protection law in Brazil acknowledges that groups of data subjects may face vulnerability, requiring special protection and safeguards to mitigate risks and violations. Group vulnerability signals contexts deserving special attention and serves as a source of obligations and rights. Within LGPD's risk-based approach, mandatory DPIAs in ML-based algorithmic profiling systems help identify vulnerable groups and implement appropriate safeguards to mitigate risks of harm or rights violations. Non-compliance with safeguard implementation obligations should be considered a breach of Brazilian data protection laws."
2016,Utilizing cumulative population distribution information in differential evolution,Yong Wang and Zhi-Zhong Liu and Jianbin Li and Han-Xiong Li and Gary G. Yen,https://doi.org/10.1016/j.asoc.2016.07.012,https://www.sciencedirect.com/science/article/pii/S1568494616303386,,,,"Differential evolution (DE) is one of the most popular paradigms of evolutionary algorithms. In general, DE does not exploit distribution information provided by the population and, as a result, its search performance is limited. In this paper, cumulative population distribution information of DE has been utilized to establish an Eigen coordinate system by making use of covariance matrix adaptation. The crossover operator of DE implemented in the Eigen coordinate system has the capability to identify the features of the fitness landscape. Furthermore, we propose a cumulative population distribution information based DE framework called CPI-DE. In CPI-DE, for each target vector, two trial vectors are generated based on both the original coordinate system and the Eigen coordinate system. Then, the target vector is compared with these two trial vectors and the best one will survive into the next generation. CPI-DE has been applied to two classic versions of DE and three state-of-the-art variants of DE for solving two sets of benchmark test functions, namely, 28 test functions with 30 and 50 dimensions at the 2013 IEEE Congress on Evolutionary Computation, and 30 test functions with 30 and 50 dimensions at the 2014 IEEE Congress on Evolutionary Computation. The experimental results suggest that CPI-DE is an effective framework to enhance the performance of DE."
2015,Multi-population differential evolution with balanced ensemble of mutation strategies for large-scale global optimization,Mostafa Z. Ali and Noor H. Awad and Ponnuthurai N. Suganthan,https://doi.org/10.1016/j.asoc.2015.04.019,https://www.sciencedirect.com/science/article/pii/S1568494615002458,,,,"Differential evolution (DE) is a simple, yet very effective, population-based search technique. However, it is challenging to maintain a balance between exploration and exploitation behaviors of the DE algorithm. In this paper, we boost the population diversity while preserving simplicity by introducing a multi-population DE to solve large-scale global optimization problems. In the proposed algorithm, called mDE-bES, the population is divided into independent subgroups, each with different mutation and update strategies. A novel mutation strategy that uses information from either the best individual or a randomly selected one is used to produce quality solutions to balance exploration and exploitation. Selection of individuals for some of the tested mutation strategies utilizes fitness-based ranks of these individuals. Function evaluations are divided into epochs. At the end of each epoch, individuals between the subgroups are exchanged to facilitate information exchange at a slow pace. The performance of the algorithm is evaluated on a set of 19 large-scale continuous optimization problems. A comparative study is carried out with other state-of-the-art optimization techniques. The results show that mDE-bES has a competitive performance and scalability behavior compared to the contestant algorithms."
2019,A review of the ICT-enabled development literature: Towards a power parity theory of ICT4D,Wallace Chipidza and Dorothy Leidner,https://doi.org/10.1016/j.jsis.2019.01.002,https://www.sciencedirect.com/science/article/pii/S0963868717302391,,,,"ICT projects are considered an important means of achieving development goals in developing countries. Although voluminous, the research to date is inconsistent in theorizing how, or why, development outcomes do or do not occur following the introduction of ICT4D. To better understand how and why ICT projects succeed, and even what success means in the ICT4D context, we conducted a literature review of ICT4D studies published during the period 2000–2016. We find that the very meaning of development varies, with four meanings of development emerging from the literature: (1) development as increased freedom, (2) development as expanded inclusion, (3) development as increased economic productivity, and (4) development as improved well-being. An ICT might succeed according to one meaning of development while simultaneously hindering achievement according to another meaning. As revealed by our analysis of the literature, these four perspectives suffer from some limitations, not least among them being the imposition of colonialist views of development on the recipients of the ICT4D. To address the limitations, we employ postcolonial theory to derive a new theory of ICT4D in which development is defined as an increase in power parity between dominant stakeholders and intended beneficiaries."
2025,7 - Basic models,Erik Cuevas and Karla Avila and Miguel Islas Toski and Héctor Escobar,https://doi.org/10.1016/B978-0-443-24004-1.00007-2,https://www.sciencedirect.com/science/article/pii/B9780443240041000072,Morgan Kaufmann,Agent-Based Models with MATLAB,Erik Cuevas and Karla Avila and Miguel Islas Toski and Héctor Escobar,"In this chapter, we will delve into the art of constructing agent-based models (Helbing, 2012). Agent-based modeling is a powerful and versatile tool that allows us to simulate complex systems by representing individual agents and their interactions within a given environment. Here, we will take a step-by-step approach, starting with classic models and gradually moving toward creating customized versions. By understanding how these models work and learning how to modify and extend them, we will gain valuable insights into alternative scenarios and even uncover entirely new phenomena."
2017,Front-matter,,https://doi.org/10.1016/B978-0-12-802407-2.00010-1,https://www.sciencedirect.com/science/article/pii/B9780128024072000101,Morgan Kaufmann,Universal UX Design,Alberto Ferreira,
2025,Bridging cultural gaps in product design: A cross-cultural supervisor approach using large language model,Keyin Chen and Rui Yao and Zhichuan Tang and Anqi Yao and Xiaoneng Jin,https://doi.org/10.1016/j.daai.2025.100004,https://www.sciencedirect.com/science/article/pii/S3050741325000047,,,,"Cross-cultural design in the globalized marketplace faces the challenges of linguistic, geographical, and cultural complexity, which limits designers’ ability to create good cross-cultural product designs. This study proposes a “cross-cultural supervisor” approach based on the large language model (LLM) and the CO-STAR framework, which aims to enhance designers’ understanding of multiculturalism and optimize design concepts. By constructing a cross-cultural design metric system and quantifying cultural factors via the analytic hierarchy process (AHP), this method provides scientific support for the decision-making of cross-cultural design. We propose two main strategies: 1) optimizing cultural sensitivity and feeding back cultural knowledge in GPT-4 on the basis of the CO-STAR framework and 2) generating and evaluating design solutions via GPT-4. The effectiveness of this strategy was verified, showing that the cross-cultural supervisor approach significantly enhances cross-cultural design reports. This approach is particularly effective in design areas where cultural backgrounds and personal preferences strongly influence product outcomes. By offering insights into aesthetics, materials, and local traditions, it enables designers to adapt products to the unique cultural and behavioral expectations of diverse markets. In the era of artificial intelligence-generated content (AIGC), this study presents a new methodology for cross-cultural product design, contributing valuable theoretical and practical insights."
2021,"2 - Digital leadership, ethics, and challenges",Gordon Bowen,https://doi.org/10.1016/B978-0-12-821442-8.00013-6,https://www.sciencedirect.com/science/article/pii/B9780128214428000136,Academic Press,"Strategy, Leadership, and AI in the Cyber Ecosystem",Hamid Jahankhani and Liam M. O’Dell and Gordon Bowen and Daniel Hagan and Arshad Jamal,"This paper is an attempt to examine leadership in the digital era, which gives rise to digital leadership. Digital technology has caused a rethink of the leadership approach in a digital environment that is continuous, dynamic, proactive, and complex, which is driven by phenomena such as globalisation (connectiveness and integration), mass immigration, and multiculturalism. E-privacy requires consent from all parties; how to engage them in the process is a central theme of the paper. Furthermore the type of leadership required is discussed and how it needs to develop in the future, which is identified as the post-General Data Protection Regulation (GDPR) era. Last, but not least, is a discussion of the challenges the e-privacy debate presents, such as collective or group e-privacy, and moving from a tick-box approach to GDPR to a recognised global framework that requires commitment from the CEO and the senior management team. Leverage via reputational damage and the power of a regulatory regime could be tools to make businesses commit in spirit to the GDPR framework and view it not just as a penalty for doing business."
